"","ExR_43","ExR_57","ExR_62","ExR_65","ExR_69","ExR_72","ExR_76","ExR_79","ExR_83","NGRDI_43","NGRDI_57","NGRDI_62","NGRDI_65","NGRDI_69","NGRDI_72","NGRDI_76","NGRDI_79","NGRDI_83"
"Y309",0.12551608485823,0.0969324829166025,0.0993527765183356,0.0894467983915429,0.0329280594314013,0.0575482040324168,0.0692445231388065,0.0712377140084556,0.0646975571582776,0.0332864537465187,0.067875583081875,0.070218200962393,0.076063495106381,0.136620983436031,0.122392661059301,0.0751977585991255,0.0777220691156141,0.0838003212953383
"Y310",0.133355266585708,0.0999421158900083,0.102916514462725,0.0936005462090076,0.0371345225029423,0.0606737327869031,0.0727446363673159,0.0776666168256645,0.06230625577858,0.0294515871618188,0.0669649498142854,0.0705929937978092,0.0785694838751346,0.130459692431093,0.120485831183276,0.0723261635757673,0.0708197137998967,0.0903120165633246
"Y311",0.130544003474913,0.0993865543652144,0.098927808086029,0.0858836348654655,0.0337217093354257,0.0526198092472746,0.0748822562323628,0.073331752191729,0.0574784457560499,0.0285615304626787,0.0632273714466315,0.0669445536810692,0.0765900092150778,0.130965884847113,0.122092244514828,0.0571516464771228,0.0625402440818558,0.082809498627821
"Y312",0.142015495363409,0.13153496200911,0.10918436084177,0.103308421476857,0.0729974450741006,0.0915150974428404,0.0774755250326401,0.0817411662010585,0.0727666231275254,0.0255578029373185,0.0395891288698735,0.0601785931257438,0.0660664332774017,0.100094666868419,0.0993822824633291,0.0613612971260777,0.0661034101078073,0.0730367866407823
"Y313",0.124938925545525,0.0970714533956552,0.101195907953455,0.0948863185520903,0.0409023821382836,0.05120531794588,0.0703907506776784,0.0740497408597747,0.06011771214316,0.0316736502249708,0.0680212274203909,0.0708510946636105,0.0733468328470956,0.123929818235386,0.123411207278877,0.0707809751822586,0.0654834087729508,0.087348459593171
"Y314",0.134826419146781,0.100774125282056,0.099491843400126,0.0948761998905124,0.0293020959631942,0.0524784813149868,0.0712901762943394,0.0808370494586636,0.0738554921415448,0.0254524668469528,0.0679119355472361,0.0763402945551451,0.0780885072498382,0.140020247521547,0.128475026744636,0.075750928236263,0.0735986920993808,0.0831200691380604
"Y315",0.145839656813357,0.127097453760298,0.121436092714683,0.114421071663458,0.0710059335903767,0.0953494402057297,0.0862600707887311,0.0987543835492712,0.0867871668299033,0.0236443502112041,0.0498577021359327,0.0570579896590199,0.0578413874999589,0.104640525247987,0.101124297783421,0.059800705268235,0.0590931710516485,0.0696347859682916
"Y316",0.14531676062081,0.108520758186297,0.0987337680815521,0.0901921102552912,0.0323044252975687,0.0460137598561583,0.069725024504416,0.0736152340482374,0.0653901147474976,0.0234177092339262,0.0605657747364293,0.0763109544807183,0.0819328955950496,0.136662936436285,0.132984527660496,0.0795725268929844,0.0826126421189581,0.092254076811483
"Y317",0.143728818360253,0.129177280272696,0.111354135326018,0.0995540193015352,0.0655371302977088,0.0902053360769204,0.0817648045719669,0.094709683844022,0.0824777721136441,0.0239044646826804,0.0316183929721115,0.0561551758628645,0.0615138786716329,0.102681454198269,0.0957778685301914,0.0573280667297058,0.0555563885522944,0.0635386803703813
"Y318",0.140028678432583,0.109128480708834,0.108636712785687,0.09667593489597,0.0496342404456722,0.0740803033445472,0.0749105964957093,0.0883500326783292,0.0705161092850409,0.0265933635424735,0.059921008265851,0.0641171800964638,0.0735664925759157,0.118597436183097,0.110171950268544,0.0696373415202865,0.0595211582901034,0.0779785359138694
