,timeNumber,timePoint,geno.decomp,genotype,predicted.values,standard.errors,plantingDate,DAP
44,1,6/7/2018,Ki3/NC356,Y044,3.074856659,0.933390161,3/14/2018,85
45,1,6/7/2018,Ki3/NC356,Y045,2.286684581,0.937913643,3/14/2018,85
46,1,6/7/2018,Ki3/NC356,Y046,3.923632275,0.933889021,3/14/2018,85
47,1,6/7/2018,Ki3/NC356,Y047,3.220627178,0.933718419,3/14/2018,85
48,1,6/7/2018,Ki3/NC356,Y048,1.923381908,0.936844601,3/14/2018,85
49,1,6/7/2018,Ki3/NC356,Y049,2.64250338,0.932853984,3/14/2018,85
50,1,6/7/2018,Ki3/NC356,Y050,1.013349197,0.934500374,3/14/2018,85
51,1,6/7/2018,Ki3/NC356,Y051,1.531464886,0.933169237,3/14/2018,85
52,1,6/7/2018,Ki3/NC356,Y052,1.136901046,0.934537367,3/14/2018,85
53,1,6/7/2018,Ki3/NC356,Y053,1.060132902,0.933889426,3/14/2018,85
54,1,6/7/2018,Ki3/NC356,Y054,2.311230415,0.934228077,3/14/2018,85
55,1,6/7/2018,Ki3/NC356,Y055,2.149155828,1.013858132,3/14/2018,85
56,1,6/7/2018,Ki3/NC356,Y056,1.535601519,0.933523544,3/14/2018,85
57,1,6/7/2018,Ki3/NC356,Y057,1.777264568,0.936404748,3/14/2018,85
58,1,6/7/2018,Ki3/NC356,Y058,2.626138949,0.93315147,3/14/2018,85
59,1,6/7/2018,Ki3/NC356,Y059,2.516336566,0.935348462,3/14/2018,85
60,1,6/7/2018,Ki3/NC356,Y060,2.577550853,0.934448466,3/14/2018,85
61,1,6/7/2018,Ki3/NC356,Y061,2.070719405,0.936657559,3/14/2018,85
